target,metric,n,pearson,spearman
llama3b,_z_neg_direction_entropy_gap,12,-0.10839785830483614,-0.38461538461538464
llama3b,prior_param_tier_jump,12,0.2586480225434975,0.3763089045031908
llama3b,pair_normalized_direction_rmse,12,0.22654927561798527,0.3706293706293706
llama3b,_z_neg_pair_norm_direction_rmse,12,-0.22654927561798519,-0.3706293706293706
llama3b,prior_same_model_family,12,0.1987561359010353,0.35846408954943243
llama3b,prior_cross_model_family,12,-0.19875613590103527,-0.35846408954943243
llama3b,target_readability_cross_entropy,12,0.11251431312214664,0.3356643356643357
llama3b,_z_neg_target_readability_ce,12,-0.1125143131221467,-0.3356643356643357
llama3b,pair_geometry_compatibility_score,12,-0.1836079142550779,-0.32167832167832167
llama3b,source_to_target_anchor_kl,12,0.14274449566679676,0.3146853146853147
llama3b,_z_neg_source_to_target_kl,12,-0.14274449566679678,-0.3146853146853147
llama3b,prior_source_param_b,12,-0.34043125525089096,-0.29399935918353476
llama3b,prior_log_param_ratio_target_over_source,12,0.36864579918655466,0.29399935918353476
llama3b,_z_log_param_ratio,12,0.3686457991865546,0.29399935918353476
llama3b,anchor_direction_js_to_target,12,0.1280116422790919,0.2867132867132867
llama3b,_z_neg_anchor_js,12,-0.12801164227909193,-0.2867132867132867
llama3b,combined_hidden_js_score,12,-0.12801164227909193,-0.2867132867132867
llama3b,diagnostic_target_direction_std_mean,12,0.1324745387598421,0.28536764767212164
llama3b,diagnostic_target_direction_entropy,12,-0.14270680193760774,-0.28536764767212164
llama3b,target_direction_subspace_residual,12,-0.11557872188928818,-0.27972027972027974
llama3b,_z_neg_subspace_residual,12,0.11557872188928782,0.27972027972027974
llama3b,source_target_top_anchor_overlap,12,-0.11374936710330447,-0.26573426573426573
llama3b,_z_top_anchor_overlap,12,-0.11374936710330445,-0.26573426573426573
llama3b,diagnostic_target_direction_std_min,12,0.07812645315848545,0.21027089828472117
llama3b,diagnostic_source_direction_std_mean,12,0.23476203679260677,0.1888111888111888
llama3b,rel_magnitude_l1_to_target,12,-0.08715401284794572,-0.11888111888111888
llama3b,rel_magnitude_rmse_to_target,12,-0.09736219320089656,-0.11888111888111888
llama3b,_z_neg_magnitude_rmse,12,0.09736219320089651,0.11888111888111888
llama3b,source_hidden_size,12,-0.27022834080053276,-0.10917828668528667
llama3b,diagnostic_rel_magnitude_z_abs_mean,12,-0.07171742836198346,-0.09090909090909091
llama3b,diagnostic_source_direction_entropy_mean,12,-0.08188903385277196,0.08391608391608392
llama3b,source_target_direction_dispersion_gap,12,-0.1585185572645023,-0.055944055944055944
llama3b,_z_neg_direction_dispersion_gap,12,0.1585185572645023,0.055944055944055944
llama3b,abs_log_hidden_ratio,12,0.07448447064222195,0.05094986711980045
llama3b,memory_target_norm_gap,12,0.07855495620680542,0.04895104895104895
llama3b,target_readability_energy,12,0.04335234689747935,-0.027972027972027972
llama3b,_z_target_readability_energy,12,0.04335234689747938,-0.027972027972027972
llama3b,combined_ratio_direction_score,12,0.15908842714340646,-0.02097902097902098
llama3b,diagnostic_target_magnitude_std_mean,12,-0.039810057296181665,0.015019349877480085
llama3b,diagnostic_target_magnitude_std_min,12,-0.039809947245376856,0.015019349877480085
llama8b,diagnostic_target_direction_std_mean,12,-0.7976241299764917,-0.8015500717251027
llama8b,diagnostic_target_direction_entropy,12,0.8555620931913682,0.8015500717251027
