compressor,metric,n,pearson,spearman
gpt2:qwen1.5b,diagnostic_source_direction_entropy_mean,6,-0.2089147018676054,0.06172133998483677
gpt2:qwen1.5b,diagnostic_source_direction_std_mean,6,-0.0791790713029755,0.06172133998483677
gpt2:qwen1.5b,prior_same_model_family,6,-0.22841317091764074,0.0
gpt2:qwen1.5b,prior_cross_model_family,6,0.22841317091764074,0.0
gpt2:qwen3b,diagnostic_target_direction_std_min,6,-0.5674794140377362,-0.8857142857142857
gpt2:qwen3b,target_readability_energy,6,-0.7316810410569814,-0.8857142857142857
gpt2:qwen3b,_z_target_readability_energy,6,-0.7316810410569814,-0.8857142857142857
gpt2:qwen3b,combined_ratio_direction_score,6,0.8030349293130502,0.8285714285714286
gpt2:qwen3b,prior_target_param_b,6,0.8337018818497014,0.8116794499134278
gpt2:qwen3b,prior_log_param_ratio_target_over_source,6,0.9185305735360003,0.8116794499134278
gpt2:qwen3b,_z_prior_target_param_b,6,0.8337018818497014,0.8116794499134278
gpt2:qwen3b,_z_log_param_ratio,6,0.9185305735360003,0.8116794499134278
gpt2:qwen3b,combined_param_direction_score,6,0.7723237005744427,0.7714285714285715
gpt2:qwen3b,diagnostic_target_direction_std_mean,6,-0.6720390764663112,-0.7142857142857143
gpt2:qwen3b,source_target_direction_dispersion_gap,6,-0.6586078487207954,-0.7142857142857143
gpt2:qwen3b,_z_neg_direction_dispersion_gap,6,0.6586078487207955,0.7142857142857143
gpt2:qwen3b,abs_log_hidden_ratio,6,0.8746891837361176,0.6667366910003157
gpt2:qwen3b,rel_direction_l1_to_target,6,-0.6854220793878787,-0.6571428571428571
gpt2:qwen3b,rel_direction_rmse_to_target,6,-0.6876064544474355,-0.6571428571428571
gpt2:qwen3b,capacity_normalized_direction_rmse,6,-0.7250866588120918,-0.6571428571428571
gpt2:qwen3b,pair_normalized_direction_rmse,6,-0.6788561294263536,-0.6571428571428571
gpt2:qwen3b,_z_neg_direction_rmse,6,0.6876064544474355,0.6571428571428571
