task,group,metric,n,top1_hit,regret_at_1,spearman,best_retention,prior_pick_retention
T2_select_target,gpt2:llama3b,diagnostic_source_direction_entropy_mean,6,0,0.08134154327433119,0.15179418517972906,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,diagnostic_target_direction_entropy,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,diagnostic_source_direction_std_mean,6,0,0.6267560577268485,-0.39466488146729556,0.9439787499896564,0.3172226922628078
T2_select_target,gpt2:llama3b,_z_target_hidden_size,6,0,0.08134154327433119,0.7061878636037996,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_prior_target_param_b,6,0,0.08134154327433119,0.6667366910003157,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_log_param_ratio,6,0,0.08134154327433119,0.6667366910003157,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_neg_direction_rmse,6,0,0.08134154327433119,0.7142857142857143,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_neg_anchor_js,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_neg_magnitude_rmse,6,0,0.17225052889339787,-0.42857142857142855,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,_z_neg_subspace_residual,6,0,0.29449673483971717,-0.7714285714285715,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,_z_neg_pair_norm_direction_rmse,6,1,0.0,0.7714285714285715,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,_z_neg_target_readability_z2,6,1,0.0,0.3142857142857143,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,_z_neg_target_readability_tail,6,1,0.0,0.4857142857142857,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,_z_neg_target_readability_ce,6,0,0.17225052889339787,0.6,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,_z_neg_source_to_target_kl,6,0,0.08134154327433119,0.7142857142857143,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_target_readability_energy,6,0,0.29449673483971717,-0.7142857142857143,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,_z_top_anchor_overlap,6,0,0.29449673483971717,-0.5428571428571428,0.9439787499896564,0.6494820151499392
T2_select_target,gpt2:llama3b,_z_neg_direction_entropy_gap,6,1,0.0,0.7714285714285715,0.9439787499896564,0.9439787499896564
T2_select_target,gpt2:llama3b,_z_neg_direction_dispersion_gap,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,_z_neg_source_native_nll,6,0,0.17225052889339787,0.4857142857142857,0.9439787499896564,0.7717282210962585
T2_select_target,gpt2:llama3b,combined_hidden_direction_score,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,combined_hidden_js_score,6,0,0.08134154327433119,0.6,0.9439787499896564,0.8626372067153252
T2_select_target,gpt2:llama3b,combined_hidden_source_quality_score,6,0,0.17225052889339787,0.7142857142857143,0.9439787499896564,0.7717282210962585
